OBJECTID,Code,ZONE_CODE,COUNT,AREA,base.mean
137,GUA,137,13,1.21228E+11,290.721398
138,BLZ,138,3,27975701882,294.21639
139,ESA,139,2,18650467922,293.0324707
140,HND,140,14,1.30553E+11,292.2581961
141,NIC,141,13,1.21228E+11,295.5415602
142,CRI,142,5,46626169804,294.5986816
143,PAN,143,9,83927105647,296.2741157
144,CUB,144,15,1.39879E+11,294.044515
145,BHS,145,16,1.49204E+11,294.5517578
146,HAI,146,3,27975701882,293.0998535
147,DOM,147,7,65276637725,292.9385812
148,JAM,148,1,9325233961,296.0783691
149,COL,149,124,1.15633E+12,294.4652769
150,VEN,150,99,9.23198E+11,295.470533
151,GUY,151,23,2.1448E+11,296.3109609
152,SUR,152,15,1.39879E+11,296.9400879
153,ECU,153,27,2.51781E+11,290.7699201
154,PER,154,140,1.30553E+12,288.7255092
155,BOL,155,126,1.17498E+12,293.6735452
156,BRA,156,967,9.0175E+12,298.3126694
157,PRY,157,52,4.84912E+11,300.6960825
158,URY,158,26,2.42456E+11,297.1395921
159,CHL,159,124,1.15633E+12,283.2617896
160,ARG,160,448,4.1777E+12,291.5994306
161,CBV,161,9,83927105647,295.4030219
162,SYC,162,1,9325233961,298.9807129
164,IDN,164,198,1.8464E+12,297.6093429
