OBJECTID,Code,ZONE_CODE,COUNT,AREA,MEAN
126,SUI,126,9,83927105647,274.401123
152,SUR,152,15,1.39879E+11,297.6245605
118,SVK,118,12,1.11903E+11,275.2295736
116,SVN,116,6,55951403765,277.2028809
98,SWE,98,225,2.09818E+12,259.9130351
162,SYC,162,1,9325233961,299.0280762
45,SYR,45,30,2.79757E+11,284.6562663
77,TCD,77,143,1.33351E+12,299.9956516
82,TGO,82,5,46626169804,306.8835449
13,THA,13,58,5.40864E+11,297.6221966
26,TJK,26,26,2.42456E+11,264.7126435
30,TKM,30,83,7.73994E+11,271.6020361
19,TLS,19,1,9325233961,298.3171387
96,TUN,96,25,2.33131E+11,292.4691699
46,TUR,46,138,1.28688E+12,280.5790839
55,TZA,55,100,9.32523E+11,299.1777051
35,UAE,35,7,65276637725,296.2091588
54,UGA,54,24,2.23806E+11,300.6416829
104,UKR,104,145,1.35216E+12,278.0304873
158,URY,158,26,2.42456E+11,291.3000864
135,USA,135,1460,1.36148E+13,268.3688488
29,UZB,29,85,7.92645E+11,268.5575569
150,VEN,150,99,9.23198E+11,297.1258113
15,VNM,15,34,3.17058E+11,291.3493078
37,YEM,37,51,4.75587E+11,298.1057416
69,ZMB,69,87,8.11295E+11,298.8760243
68,ZWE,68,47,4.38286E+11,302.7282507
